CUR,0.024,0.008,0.004,0,0,23.84,0,2,0
CUR,0.873,0.623,0.044,0,8,23.82,42,2,0
CUR,1.109,0.536,0.196,0,29,23.81,1156,2,0
CUR,1.114,0.528,0.201,0,29,23.84,1341,2,0
CUR,1.114,0.531,0.202,0,29,23.84,1344,2,0
CUR,1.109,0.533,0.201,0,29,23.82,1349,2,0
CUR,1.109,0.531,0.202,0,29,23.84,1347,2,0
CUR,1.114,0.530,0.182,0,0,23.85,1285,3,3
CUR,0.018,0.008,0.003,0,0,23.85,159,3,3
CUR,0.018,0.008,0.003,0,0,23.84,6,3,3
